date,temperature_c,rainfall_mm
1990-04-11,19.027,0.0
1990-04-12,18.956,0.0
1990-04-13,13.634,1.872
1990-04-14,16.519,0.0
1990-04-15,16.177,0.0
1990-04-16,20.232,0.0
1990-04-17,21.972,0.0
1990-04-18,23.745,0.0
1990-04-19,20.884,4.265
1990-04-20,19.511,1.604
1990-04-21,18.821,6.788
1990-04-22,17.617,7.7
1990-04-23,20.926,7.865
1990-04-24,22.674,4.103
1990-04-25,27.069,0.0
1990-04-26,26.524,0.0
1990-04-27,21.043,0.233
1990-04-28,18.349,0.0
1990-04-29,18.778,0.233
1990-04-30,22.137,0.0
1990-05-01,23.719,1.813
1990-05-02,20.794,0.901
1990-05-03,22.575,0.0
1990-05-04,21.207,0.541
1990-05-05,20.929,0.0
1990-05-06,28.778,0.0
1990-05-07,27.295,0.364
1990-05-08,25.413,0.0
1990-05-09,23.294,0.0
1990-05-10,23.318,11.393
1990-05-11,24.389,7.258
1990-05-12,24.833,1.407
1990-05-13,20.724,4.038
1990-05-14,18.729,3.745
1990-05-15,20.897,1.395
1990-05-16,23.707,0.0
1990-05-17,28.059,0.0
1990-05-18,24.381,0.0
1990-05-19,23.312,0.0
1990-05-20,22.113,0.0
1990-05-21,21.854,0.0
1990-05-22,21.422,0.0
1990-05-23,21.863,3.037
1990-05-24,17.045,1.563
1990-05-25,23.491,1.501
1990-05-26,24.785,0.0
1990-05-27,22.307,3.227
1990-05-28,22.53,0.762
1990-05-29,24.702,9.608
1990-05-30,27.481,6.474
1990-05-31,25.247,4.106
1990-06-01,22.845,4.073
1990-06-02,25.498,4.501
1990-06-03,24.243,0.0
1990-06-04,25.649,0.0
1990-06-05,27.662,1.829
1990-06-06,27.742,2.353
1990-06-07,26.576,2.305
1990-06-08,20.036,1.165
1990-06-09,22.914,0.0
1990-06-10,26.404,0.0
1990-06-11,25.388,4.929
1990-06-12,23.506,3.923
1990-06-13,25.237,1.836
1990-06-14,27.966,7.075
1990-06-15,21.795,5.067
1990-06-16,22.452,5.479
1990-06-17,22.497,0.443
1990-06-18,23.073,0.0
1990-06-19,25.212,0.0
1990-06-20,30.021,0.0
1990-06-21,26.163,1.401
1990-06-22,23.971,0.542
1990-06-23,23.176,0.0
1990-06-24,20.819,0.0
1990-06-25,23.05,4.471
1990-06-26,25.068,1.766
1990-06-27,26.565,0.181
1990-06-28,23.73,2.502
1990-06-29,26.726,6.246
1990-06-30,34.68,4.849
1990-07-01,35.599,6.645
1990-07-02,33.301,6.85
1990-07-03,34.642,5.973
1990-07-04,35.468,1.822
1990-07-05,33.457,0.688
1990-07-06,33.514,0.0
1990-07-07,29.49,0.0
1990-07-08,29.804,0.0
1990-07-09,29.321,0.0
1990-07-10,32.141,0.0
1990-07-11,29.067,0.0
1990-07-12,27.868,0.0
1990-07-13,27.978,2.454
1990-07-14,28.578,0.567
1990-07-15,28.469,2.1
1990-07-16,25.811,3.047
1990-07-17,24.613,3.277
1990-07-18,28.485,3.496
1990-07-19,29.87,0.0
1990-07-20,29.054,0.639
1990-07-21,27.294,8.202
1990-07-22,28.524,2.897
1990-07-23,28.782,0.0
1990-07-24,28.073,1.221
1990-07-25,28.716,0.388
1990-07-26,29.34,0.0
1990-07-27,22.465,0.0
1990-07-28,21.362,0.0
1990-07-29,21.058,0.0
1990-07-30,26.365,1.563
1990-07-31,25.675,0.0
1990-08-01,28.412,0.0
1990-08-02,29.194,2.706
1990-08-03,27.759,2.383
1990-08-04,27.741,0.22
1990-08-05,26.77,1.455
1990-08-06,31.307,13.129
1990-08-07,31.914,5.659
1990-08-08,30.695,0.0
1990-08-09,27.402,0.0
1990-08-10,24.38,0.0
1990-08-11,24.259,0.0
1990-08-12,25.662,0.0
1990-08-13,24.436,0.0
1990-08-14,23.492,1.996
1990-08-15,23.433,7.47
1990-08-16,21.479,5.92
1990-08-17,14.524,4.947
1990-08-18,13.092,13.191
1990-08-19,18.235,10.088
1990-08-20,19.622,0.141
1990-08-21,24.959,4.864
1990-08-22,24.751,4.914
1990-08-23,27.303,7.126
1990-08-24,32.901,4.812
1990-08-25,29.696,1.482
1990-08-26,29.833,3.054
1990-08-27,28.199,2.497
1990-08-28,28.883,0.0
1990-08-29,27.496,0.671
1990-08-30,22.818,1.936
1990-08-31,24.926,1.058
1990-09-01,24.318,4.119
1990-09-02,24.889,0.0
1990-09-03,27.617,2.497
1990-09-04,25.511,3.333
1990-09-05,25.971,2.698
1990-09-06,23.404,1.693
1990-09-07,19.427,2.613
1990-09-08,22.427,0.424
1990-09-09,23.235,0.0
1990-09-10,25.079,9.292
1990-09-11,20.327,5.367
1990-09-12,21.76,5.316
1990-09-13,24.47,0.675
1990-09-14,23.108,28.486
1990-09-15,20.177,19.531
1990-09-16,22.206,8.87
1990-09-17,19.884,8.819
1990-09-18,20.276,11.276
1990-09-19,23.029,7.217
1990-09-20,13.984,10.035
1990-09-21,17.255,7.055
1990-09-22,21.186,3.181
1990-09-23,19.879,2.198
1990-09-24,20.055,3.748
1990-09-25,20.778,5.189
1990-09-26,19.791,6.366
1990-09-27,21.706,5.197
1990-09-28,18.753,5.375
1990-09-29,20.277,1.116
1990-09-30,23.424,2.358
1990-10-01,22.875,5.279
1990-10-02,23.57,6.751
1990-10-03,22.528,4.716
1990-10-04,21.601,6.821
1990-10-05,23.48,6.52
1990-10-06,24.574,2.82
1990-10-07,29.061,2.707
1990-10-08,25.728,1.436
1990-10-09,20.439,7.155
1990-10-10,15.746,3.38
1990-10-11,17.179,2.439
1990-10-12,21.639,0.0
1990-10-13,20.414,0.0
1990-10-14,21.407,0.0
1990-10-15,17.818,2.755
1990-10-16,15.801,0.0
1990-10-17,14.663,0.0
1990-10-18,16.444,0.0
1990-10-19,19.173,0.0
1990-10-20,25.336,0.899
1990-10-21,20.934,0.0
1990-10-22,17.625,0.434
1990-10-23,11.603,5.219
1990-10-24,10.638,3.928
1990-10-25,10.573,12.884
1990-10-26,11.142,7.802
1990-10-27,8.778,7.938
1990-10-28,8.153,6.36
1990-10-29,11.261,4.525
1990-10-30,14.932,2.328
1990-10-31,15.218,0.0
1990-11-01,17.241,3.398
1990-11-02,15.05,5.832
1990-11-03,16.624,7.61
1990-11-04,14.313,4.437
1990-11-05,12.328,6.772
1990-11-06,12.582,3.827
1990-11-07,12.585,5.889
1990-11-08,14.699,2.758
1990-11-09,15.341,1.249
1990-11-10,13.475,4.054
1990-11-11,12.811,2.329
1990-11-12,18.601,4.533
1990-11-13,17.26,3.518
1990-11-14,16.307,1.405
1990-11-15,13.763,9.516
1990-11-16,6.968,6.339
1990-11-17,7.687,8.815
1990-11-18,7.074,5.422
1990-11-19,6.913,7.209
1990-11-20,10.258,3.528
1990-11-21,10.716,5.122
1990-11-22,10.559,4.468
1990-11-23,10.269,3.391
1990-11-24,13.138,0.0
1990-11-25,10.41,3.056
1990-11-26,13.404,3.627
1990-11-27,9.65,3.882
1990-11-28,9.828,3.401
1990-11-29,9.72,2.359
1990-11-30,12.689,6.549
1990-12-01,10.506,1.015
1990-12-02,7.125,0.693
1990-12-03,5.652,6.833
1990-12-04,4.014,0.0
1990-12-05,6.261,0.0
1990-12-06,9.573,0.0
1990-12-07,8.855,2.195
1990-12-08,6.423,0.0
1990-12-09,5.826,0.022
1990-12-10,6.792,1.547
1990-12-11,9.715,4.438
1990-12-12,9.183,6.09
1990-12-13,8.609,3.433
1990-12-14,6.09,6.545
1990-12-15,7.325,8.563
1990-12-16,8.613,6.319
1990-12-17,9.551,6.239
1990-12-18,11.079,2.957
1990-12-19,18.094,10.972
1990-12-20,8.355,4.206
1990-12-21,6.204,4.287
1990-12-22,8.276,4.123
1990-12-23,10.703,13.876
1990-12-24,7.017,9.835
1990-12-25,9.805,7.597
1990-12-26,9.137,4.417
1990-12-27,11.914,0.0
1990-12-28,9.352,2.766
1990-12-29,9.057,6.605
1990-12-30,15.491,8.634
1990-12-31,14.285,8.547
1991-01-01,15.626,13.783
1991-01-02,11.606,9.775
1991-01-03,11.292,7.628
1991-01-04,13.507,8.965
1991-01-05,11.65,10.211
1991-01-06,13.411,5.74
1991-01-07,9.794,3.491
1991-01-08,7.694,0.016
1991-01-09,5.241,2.532
1991-01-10,9.802,1.199
1991-01-11,12.245,0.0
1991-01-12,8.376,0.0
1991-01-13,9.119,0.0
1991-01-14,9.724,1.4
1991-01-15,14.525,4.772
1991-01-16,15.42,1.197
1991-01-17,15.833,1.827
1991-01-18,13.055,0.156
1991-01-19,8.622,0.803
1991-01-20,7.605,4.676
1991-01-21,1.21,2.759
1991-01-22,4.387,2.188
1991-01-23,1.878,2.083
1991-01-24,2.244,7.594
1991-01-25,1.979,11.401
1991-01-26,5.042,5.505
1991-01-27,6.244,7.513
1991-01-28,7.769,6.727
1991-01-29,8.528,4.947
1991-01-30,12.297,6.002
1991-01-31,10.134,6.539
1991-02-01,9.275,5.156
1991-02-02,8.091,2.54
1991-02-03,8.469,1.217
1991-02-04,9.986,1.534
1991-02-05,11.296,8.985
1991-02-06,13.575,9.123
1991-02-07,9.009,7.428
1991-02-08,7.294,8.017
1991-02-09,5.71,9.149
1991-02-10,8.857,5.929
1991-02-11,8.628,5.747
1991-02-12,8.238,3.333
1991-02-13,11.17,0.363
1991-02-14,12.846,0.262
1991-02-15,7.173,0.779
1991-02-16,12.178,0.557
1991-02-17,13.895,0.0
1991-02-18,16.364,1.562
1991-02-19,21.108,0.0
1991-02-20,20.067,0.0
1991-02-21,18.35,1.721
1991-02-22,17.522,0.562
1991-02-23,27.311,4.438
1991-02-24,25.329,4.355
1991-02-25,26.23,0.0
1991-02-26,20.746,0.0
1991-02-27,19.326,0.0
1991-02-28,16.807,0.0
1991-03-01,16.713,0.0
1991-03-02,13.161,0.0
1991-03-03,10.671,0.0
1991-03-04,8.038,0.528
1991-03-05,12.488,0.0
1991-03-06,18.142,0.0
1991-03-07,17.675,1.484
1991-03-08,14.828,5.401
1991-03-09,15.396,0.805
1991-03-10,15.259,0.759
1991-03-11,15.454,3.007
1991-03-12,14.164,2.649
1991-03-13,15.044,5.287
1991-03-14,10.032,1.232
1991-03-15,11.827,5.765
1991-03-16,17.269,5.272
1991-03-17,22.222,2.875
1991-03-18,22.255,2.546
1991-03-19,15.554,0.0
1991-03-20,18.831,7.289
1991-03-21,14.214,9.502
1991-03-22,14.5,5.411
1991-03-23,10.862,15.947
1991-03-24,16.179,8.96
1991-03-25,15.308,7.427
1991-03-26,15.608,0.0
1991-03-27,11.977,0.0
1991-03-28,23.097,2.074
1991-03-29,17.546,3.241
1991-03-30,14.586,5.501
1991-03-31,14.163,3.857
1991-04-01,14.95,3.84
1991-04-02,12.926,5.657
1991-04-03,14.757,3.467
1991-04-04,15.256,0.059
1991-04-05,18.281,2.614
1991-04-06,18.735,0.0
1991-04-07,18.207,0.0
1991-04-08,22.807,4.328
1991-04-09,26.629,0.0
1991-04-10,25.875,0.0
1991-04-11,24.837,0.0
1991-04-12,23.889,0.0
1991-04-13,23.644,0.0
1991-04-14,20.52,6.392
1991-04-15,20.432,6.264
1991-04-16,20.764,8.35
1991-04-17,23.234,1.912
1991-04-18,25.539,2.463
1991-04-19,22.032,0.0
1991-04-20,21.899,0.0
1991-04-21,18.28,0.0
1991-04-22,16.171,0.0
1991-04-23,15.855,0.677
1991-04-24,15.04,0.0
1991-04-25,17.72,3.485
1991-04-26,19.65,4.405
1991-04-27,19.551,1.947
1991-04-28,19.813,1.949
1991-04-29,21.072,3.415
1991-04-30,21.501,5.582
1991-05-01,17.425,0.0
1991-05-02,17.978,0.0
1991-05-03,18.725,0.076
1991-05-04,19.538,1.583
1991-05-05,24.794,6.036
1991-05-06,27.109,0.0
1991-05-07,21.013,0.891
1991-05-08,19.986,3.695
1991-05-09,21.319,1.17
1991-05-10,25.567,3.007
1991-05-11,23.087,4.788
1991-05-12,25.637,1.28
1991-05-13,38.163,3.657
1991-05-14,39.25,7.768
1991-05-15,35.522,2.219
1991-05-16,32.376,1.825
1991-05-17,28.077,1.078
1991-05-18,29.449,0.0
1991-05-19,19.443,0.0
1991-05-20,22.74,1.421
1991-05-21,22.51,3.335
1991-05-22,23.232,5.988
1991-05-23,24.925,3.721
1991-05-24,26.719,0.047
1991-05-25,26.832,0.0
1991-05-26,27.699,0.0
1991-05-27,25.265,0.0
1991-05-28,26.559,2.791
1991-05-29,26.805,1.134
1991-05-30,28.768,0.285
1991-05-31,29.248,0.0
1991-06-01,28.233,0.348
1991-06-02,27.194,1.703
1991-06-03,26.459,1.353
1991-06-04,24.383,7.811
1991-06-05,26.156,4.837
1991-06-06,23.312,4.253
1991-06-07,23.435,1.777
1991-06-08,30.687,1.059
1991-06-09,27.381,1.334
1991-06-10,23.571,5.66
1991-06-11,25.356,1.635
1991-06-12,28.096,0.0
1991-06-13,30.148,0.0
1991-06-14,29.763,0.0
1991-06-15,30.263,0.0
1991-06-16,30.397,1.446
1991-06-17,27.907,0.0
1991-06-18,19.1,3.111
1991-06-19,21.012,3.495
1991-06-20,19.911,4.042
1991-06-21,9.127,2.242
1991-06-22,13.915,1.668
1991-06-23,20.388,11.928
1991-06-24,20.582,4.336
1991-06-25,18.325,0.0
1991-06-26,20.567,0.0
1991-06-27,18.62,0.0
1991-06-28,26.86,0.0
1991-06-29,28.841,1.125
1991-06-30,29.864,0.0
1991-07-01,35.451,0.0
1991-07-02,35.789,0.0
1991-07-03,29.728,0.439
1991-07-04,29.867,0.0
1991-07-05,31.776,0.0
1991-07-06,33.718,0.0
1991-07-07,28.881,0.0
1991-07-08,27.979,5.317
1991-07-09,30.612,0.71
1991-07-10,31.544,5.138
1991-07-11,30.059,7.065
1991-07-12,26.989,4.885
1991-07-13,26.386,7.947
1991-07-14,31.779,9.859
1991-07-15,33.968,5.606
1991-07-16,30.177,2.944
1991-07-17,22.713,1.832
1991-07-18,25.018,2.373
1991-07-19,27.172,2.817
1991-07-20,19.967,5.124
1991-07-21,18.298,2.949
1991-07-22,20.002,2.795
1991-07-23,21.884,0.571
1991-07-24,25.589,0.324
1991-07-25,27.608,0.314
1991-07-26,29.875,2.41
1991-07-27,26.521,0.258
1991-07-28,27.554,1.469
1991-07-29,26.273,0.0
1991-07-30,27.242,0.0
1991-07-31,30.0,0.0
1991-08-01,29.502,4.149
1991-08-02,28.935,0.0
1991-08-03,29.895,4.017
1991-08-04,26.367,3.812
1991-08-05,26.035,0.0
1991-08-06,26.784,0.0
1991-08-07,27.207,1.894
1991-08-08,31.873,7.477
1991-08-09,31.874,1.684
1991-08-10,28.677,5.259
1991-08-11,26.786,2.166
1991-08-12,18.71,0.0
1991-08-13,17.424,0.116
1991-08-14,19.14,0.0
1991-08-15,22.455,0.628
1991-08-16,24.395,8.015
1991-08-17,24.464,3.601
1991-08-18,26.583,0.0
1991-08-19,23.296,0.0
1991-08-20,22.988,4.615
1991-08-21,23.419,7.014
1991-08-22,25.493,4.04
1991-08-23,28.831,2.532
1991-08-24,24.25,7.289
1991-08-25,24.843,9.974
1991-08-26,25.956,6.541
1991-08-27,27.841,5.61
1991-08-28,27.421,3.473
1991-08-29,27.788,2.97
1991-08-30,18.77,4.66
1991-08-31,17.023,6.607
1991-09-01,15.511,4.111
1991-09-02,15.934,5.448
1991-09-03,16.57,5.081
1991-09-04,21.381,0.0
1991-09-05,24.006,3.795
1991-09-06,24.977,1.025
1991-09-07,25.81,11.451
1991-09-08,27.128,4.009
1991-09-09,29.296,3.06
1991-09-10,27.264,0.049
1991-09-11,27.758,7.151
1991-09-12,24.857,8.426
1991-09-13,25.103,2.625
1991-09-14,25.525,0.795
1991-09-15,21.249,3.293
1991-09-16,21.915,3.107
1991-09-17,23.238,0.0
1991-09-18,22.644,0.0
1991-09-19,23.79,0.385
1991-09-20,23.101,0.044
1991-09-21,18.764,1.471
1991-09-22,20.471,1.114
1991-09-23,21.224,7.916
1991-09-24,20.418,2.69
1991-09-25,21.078,0.0
1991-09-26,23.724,0.0
1991-09-27,24.037,0.0
1991-09-28,21.486,0.0
1991-09-29,11.7,1.773
1991-09-30,11.231,3.584
1991-10-01,14.189,7.626
1991-10-02,13.567,5.636
1991-10-03,13.923,14.31
1991-10-04,19.448,8.405
1991-10-05,18.989,0.0
1991-10-06,16.926,0.446
1991-10-07,17.581,0.332
1991-10-08,16.395,2.258
1991-10-09,18.324,2.064
1991-10-10,20.223,0.0
1991-10-11,21.493,0.964
1991-10-12,20.534,4.042
1991-10-13,16.612,4.302
1991-10-14,17.145,2.517
1991-10-15,15.569,9.204
1991-10-16,13.008,6.379
1991-10-17,14.312,3.578
1991-10-18,15.412,2.058
1991-10-19,16.732,4.674
1991-10-20,17.845,7.09
1991-10-21,10.615,5.408
1991-10-22,12.738,36.901
1991-10-23,18.617,18.261
1991-10-24,23.05,9.069
1991-10-25,24.781,4.407
1991-10-26,23.937,7.562
1991-10-27,24.517,8.917
1991-10-28,17.572,0.0
1991-10-29,12.811,0.0
1991-10-30,16.565,1.6
1991-10-31,11.658,3.417
1991-11-01,7.742,3.624
1991-11-02,5.303,6.444
1991-11-03,6.878,9.256
1991-11-04,9.896,3.462
1991-11-05,6.208,6.641
1991-11-06,5.384,6.916
1991-11-07,4.682,0.0
1991-11-08,4.916,1.497
1991-11-09,8.763,1.2
1991-11-10,8.162,0.0
1991-11-11,8.719,0.245
1991-11-12,15.426,3.965
1991-11-13,16.636,6.84
1991-11-14,15.966,5.061
1991-11-15,13.287,5.61
1991-11-16,14.906,0.0
1991-11-17,15.267,1.968
1991-11-18,13.463,0.0
1991-11-19,14.276,0.0
1991-11-20,11.418,0.0
1991-11-21,13.049,4.045
1991-11-22,11.368,1.442
1991-11-23,13.876,2.025
1991-11-24,15.588,1.625
1991-11-25,12.179,0.299
1991-11-26,12.351,1.544
1991-11-27,11.163,0.0
1991-11-28,11.387,0.647
1991-11-29,10.035,5.41
1991-11-30,12.794,4.077
1991-12-01,14.138,7.771
1991-12-02,16.179,2.3
1991-12-03,23.343,4.506
1991-12-04,22.808,4.003
1991-12-05,14.268,4.071
1991-12-06,13.095,7.266
1991-12-07,13.675,8.35
1991-12-08,15.266,10.301
1991-12-09,11.465,5.821
1991-12-10,8.788,5.705
1991-12-11,7.306,2.969
1991-12-12,6.3,9.347
1991-12-13,11.614,2.525
1991-12-14,10.526,3.742
1991-12-15,10.264,5.686
1991-12-16,7.911,4.141
1991-12-17,6.059,2.574
1991-12-18,5.722,5.07
1991-12-19,4.399,3.882
1991-12-20,4.141,5.571
1991-12-21,3.298,4.444
1991-12-22,4.532,3.217
1991-12-23,4.003,6.774
1991-12-24,7.158,0.0
1991-12-25,8.011,0.0
1991-12-26,7.738,0.0
1991-12-27,9.179,0.739
1991-12-28,8.532,1.769
1991-12-29,5.092,2.448
1991-12-30,0.602,4.474
1991-12-31,1.209,2.888
1992-01-01,4.74,2.133
1992-01-02,6.587,0.0
1992-01-03,8.336,1.592
1992-01-04,8.394,2.167
1992-01-05,11.376,2.834
1992-01-06,21.215,2.024
1992-01-07,20.131,9.351
1992-01-08,17.519,5.507
1992-01-09,16.752,9.959
1992-01-10,13.335,5.527
1992-01-11,13.854,3.878
1992-01-12,8.973,4.676
1992-01-13,7.987,10.739
1992-01-14,7.477,6.671
1992-01-15,2.283,5.157
1992-01-16,0.95,1.161
1992-01-17,3.633,0.538
1992-01-18,9.977,4.873
1992-01-19,10.529,1.179
1992-01-20,9.117,2.79
1992-01-21,7.169,2.555
1992-01-22,7.52,2.668
1992-01-23,5.655,4.803
1992-01-24,3.616,6.358
1992-01-25,4.382,3.742
1992-01-26,7.202,0.0
1992-01-27,7.253,0.0
1992-01-28,5.578,0.0
1992-01-29,10.421,0.031
1992-01-30,8.24,0.0
1992-01-31,7.934,0.0
1992-02-01,7.064,1.972
1992-02-02,8.864,1.528
1992-02-03,8.006,7.177
1992-02-04,10.46,4.362
1992-02-05,11.029,2.145
1992-02-06,10.527,1.559
1992-02-07,7.621,4.471
1992-02-08,7.526,4.241
1992-02-09,5.966,3.088
1992-02-10,7.837,4.122
1992-02-11,9.141,5.538
1992-02-12,11.232,7.613
1992-02-13,13.359,11.386
1992-02-14,13.725,7.908
1992-02-15,13.032,5.983
1992-02-16,10.3,0.786
1992-02-17,12.035,0.0
1992-02-18,13.297,6.408
1992-02-19,12.129,3.108
1992-02-20,12.154,0.86
1992-02-21,11.368,0.0
1992-02-22,9.666,0.0
1992-02-23,10.557,1.426
1992-02-24,12.534,1.721
1992-02-25,16.72,0.348
1992-02-26,16.59,0.0
1992-02-27,17.255,0.869
1992-02-28,15.918,0.0
1992-02-29,14.35,2.661
1992-03-01,14.258,0.0
1992-03-02,14.509,0.0
1992-03-03,29.016,0.0
1992-03-04,24.988,0.0
1992-03-05,27.728,0.724
1992-03-06,26.989,0.444
1992-03-07,21.597,2.951
1992-03-08,18.148,0.0
1992-03-09,15.594,1.978
1992-03-10,15.2,0.83
1992-03-11,12.208,3.264
1992-03-12,16.094,4.43
1992-03-13,15.145,2.283
1992-03-14,13.797,2.453
1992-03-15,15.746,2.329
1992-03-16,13.136,0.0
1992-03-17,14.162,0.0
1992-03-18,16.917,0.0
1992-03-19,17.362,1.529
1992-03-20,13.537,0.0
1992-03-21,11.559,3.115
1992-03-22,11.143,0.0
1992-03-23,10.87,0.0
1992-03-24,10.07,2.09
1992-03-25,9.482,3.407
1992-03-26,11.369,0.0
1992-03-27,14.454,5.795
1992-03-28,14.589,7.114
1992-03-29,10.521,0.29
1992-03-30,13.182,0.0
1992-03-31,11.747,0.022
1992-04-01,14.234,0.0
1992-04-02,17.616,0.0
1992-04-03,16.623,1.277
1992-04-04,16.959,2.967
1992-04-05,16.869,2.416
1992-04-06,21.017,4.609
1992-04-07,18.783,8.488
1992-04-08,19.153,5.23
1992-04-09,19.067,3.889
1992-04-10,22.27,1.739
1992-04-11,18.697,1.344
1992-04-12,13.882,2.054
1992-04-13,12.902,1.922
1992-04-14,11.978,5.629
1992-04-15,15.234,1.578
1992-04-16,16.344,2.055
1992-04-17,21.219,0.0
1992-04-18,19.688,0.0
1992-04-19,20.477,0.0
1992-04-20,18.995,0.0
1992-04-21,16.194,0.0
1992-04-22,17.903,5.565
1992-04-23,18.164,5.469
1992-04-24,19.964,6.51
1992-04-25,21.686,8.061
1992-04-26,23.414,4.693
1992-04-27,24.131,4.186
1992-04-28,26.401,0.0
1992-04-29,24.7,4.326
1992-04-30,22.272,0.0
1992-05-01,21.308,0.0
1992-05-02,19.731,0.0
1992-05-03,19.884,4.462
1992-05-04,16.94,0.666
1992-05-05,18.721,2.746
1992-05-06,20.965,0.0
1992-05-07,18.705,1.972
1992-05-08,17.031,2.0
1992-05-09,15.909,0.0
1992-05-10,12.1,0.0
1992-05-11,13.558,0.0
1992-05-12,17.207,0.0
1992-05-13,19.301,0.0
1992-05-14,20.262,4.32
1992-05-15,23.038,1.122
1992-05-16,23.942,1.33
1992-05-17,24.814,2.868
1992-05-18,23.297,0.64
1992-05-19,24.867,2.464
1992-05-20,27.118,12.439
1992-05-21,30.261,7.695
1992-05-22,34.284,9.257
1992-05-23,32.639,5.66
1992-05-24,26.577,3.029
1992-05-25,29.361,4.435
1992-05-26,28.179,5.339
1992-05-27,25.179,1.443
1992-05-28,27.375,1.358
1992-05-29,30.089,0.694
1992-05-30,30.85,8.415
1992-05-31,26.412,3.369
1992-06-01,23.286,6.062
1992-06-02,19.876,4.152
1992-06-03,21.071,3.725
1992-06-04,22.89,1.676
1992-06-05,22.56,0.0
1992-06-06,21.672,0.0
1992-06-07,22.779,1.382
1992-06-08,25.656,0.57
1992-06-09,26.701,0.0
1992-06-10,31.916,0.0
1992-06-11,29.196,0.0
1992-06-12,29.762,3.151
1992-06-13,32.828,5.606
1992-06-14,24.002,0.969
1992-06-15,28.398,0.0
1992-06-16,26.955,0.0
1992-06-17,32.218,0.0
1992-06-18,27.796,0.0
1992-06-19,28.312,0.367
1992-06-20,31.369,0.0
1992-06-21,31.717,0.0
1992-06-22,27.031,0.584
1992-06-23,29.273,0.641
1992-06-24,29.621,0.0
1992-06-25,32.594,0.0
1992-06-26,29.137,0.0
1992-06-27,28.459,0.0
1992-06-28,28.781,1.152
1992-06-29,27.316,7.096
1992-06-30,28.404,1.28
1992-07-01,30.508,0.0
1992-07-02,28.171,0.0
1992-07-03,23.938,0.0
1992-07-04,25.685,0.0
1992-07-05,26.189,0.0
1992-07-06,24.617,0.0
1992-07-07,23.029,0.0
1992-07-08,19.392,0.0
1992-07-09,19.91,0.0
1992-07-10,19.771,0.0
1992-07-11,21.058,0.959
1992-07-12,23.574,2.616
1992-07-13,27.166,2.629
1992-07-14,24.638,1.243
1992-07-15,24.389,1.767
1992-07-16,26.057,0.0
1992-07-17,30.539,0.0
1992-07-18,19.616,0.0
1992-07-19,19.316,1.564
